english,spanish,theme
Skin,Piel,Body & Appearance
Bone,Hueso,Body & Appearance
Muscle,Músculo,Body & Appearance
Back,Espalda,Body & Appearance
Chest,Pecho,Body & Appearance
Knee,Rodilla,Body & Appearance
Health,Salud,Body & Appearance
Height,Estatura,Body & Appearance
Weight,Peso,Body & Appearance
Tall,Alto,Body & Appearance
Short,Bajo,Body & Appearance
Fat,Gordo,Body & Appearance
Thin,Flaco,Body & Appearance
Strong,Fuerte,Body & Appearance
Weak,Débil,Body & Appearance
Young,Joven,Body & Appearance
Old,Viejo,Body & Appearance
Man,Hombre,Body & Appearance
Woman,Mujer,Body & Appearance
Clothes,Ropa,Body & Appearance
Shirt,Camisa,Body & Appearance
T-shirt,Camiseta,Body & Appearance
Pants,Pantalones,Body & Appearance
Jeans,Vaqueros,Body & Appearance
Dress,Vestido,Body & Appearance
Skirt,Falda,Body & Appearance
Jacket,Chaqueta,Body & Appearance
Coat,Abrigo,Body & Appearance
Sweater,Suéter,Body & Appearance
Suit,Traje,Body & Appearance
Shoes,Zapatos,Body & Appearance
Boots,Botas,Body & Appearance
Sandals,Sandalias,Body & Appearance
Socks,Calcetines,Body & Appearance
Underwear,Ropa interior,Body & Appearance
Belt,Cinturón,Body & Appearance
Hat,Sombrero,Body & Appearance
Cap,Gorra,Body & Appearance
Scarf,Bufanda,Body & Appearance
Gloves,Guantes,Body & Appearance
Watch,Reloj,Body & Appearance
Glasses,Gafas,Body & Appearance
Emotion,Emoción,Feelings & Emotions
Feeling,Sentimiento,Feelings & Emotions
Happy,Feliz,Feelings & Emotions
Sad,Triste,Feelings & Emotions
Angry,Enojado,Feelings & Emotions
Nervous,Nervioso,Feelings & Emotions
Calm,Tranquilo,Feelings & Emotions
Excited,Emocionado,Feelings & Emotions
Worried,Preocupado,Feelings & Emotions
Scared,Asustado,Feelings & Emotions
Bored,Aburrido,Feelings & Emotions
Tired,Cansado,Feelings & Emotions
Hungry,Hambre,Feelings & Emotions
Thirsty,Sed,Feelings & Emotions
Love,Amor,Feelings & Emotions
Hate,Odio,Feelings & Emotions
Joy,Alegría,Feelings & Emotions
Sadness,Tristeza,Feelings & Emotions
Fear,Miedo,Feelings & Emotions
Anger,Ira,Feelings & Emotions
Surprise,Sorpresa,Feelings & Emotions
Disgust,Asco,Feelings & Emotions
Shame,Vergüenza,Feelings & Emotions
Pride,Orgullo,Feelings & Emotions
Hope,Esperanza,Feelings & Emotions
Confidence,Confianza,Feelings & Emotions
Doubt,Duda,Feelings & Emotions
Jealousy,Celos,Feelings & Emotions
Envy,Envidia,Feelings & Emotions
Gratitude,Gratitud,Feelings & Emotions
Pain,Dolor,Feelings & Emotions
Pleasure,Placer,Feelings & Emotions
Desire,Deseo,Feelings & Emotions
Courage,Valor,Feelings & Emotions
Sympathy,Simpatía,Feelings & Emotions
Passion,Pasión,Feelings & Emotions
Serious,Serio,Feelings & Emotions
Funny,Divertido,Feelings & Emotions
Kind,Amable,Feelings & Emotions
Rude,Grosero,Feelings & Emotions
Patient,Paciente,Feelings & Emotions
Impatient,Impaciente,Feelings & Emotions
Brave,Valiente,Feelings & Emotions
Honest,Honesto,Feelings & Emotions
Loyal,Leal,Feelings & Emotions
Selfish,Egoísta,Feelings & Emotions
Generous,Generoso,Feelings & Emotions
Lazy,Perezoso,Feelings & Emotions
Shy,Tímido,Feelings & Emotions
Secure,Seguro,Feelings & Emotions
Satisfied,Satisfecho,Feelings & Emotions
Relief,Alivio,Feelings & Emotions
